task,variant,seed,n_params,distance,acc,n
assoc_recall,alibi,0,3163904,7.53810082063306,1.0,1706
assoc_recall,alibi,0,3163904,11.390158172231986,1.0,1707
assoc_recall,alibi,0,3163904,13.827768014059753,1.0,1707
assoc_recall,alibi,0,3163904,15.74208675263775,1.0,1706
assoc_recall,alibi,0,3163904,17.540714704159345,1.0,1707
assoc_recall,alibi,0,3163904,19.19742237844171,1.0,1707
assoc_recall,alibi,0,3163904,20.64126611957796,1.0,1706
assoc_recall,alibi,0,3163904,22.333333333333332,1.0,1707
assoc_recall,alibi,0,3163904,24.013473930872877,1.0,1707
assoc_recall,alibi,0,3163904,25.95896834701055,1.0,1706
assoc_recall,alibi,0,3163904,28.31927357937903,1.0,1707
assoc_recall,alibi,0,3163904,32.3585237258348,1.0,1707
assoc_recall,alibi,1,3163904,7.589097303634232,1.0,1706
assoc_recall,alibi,1,3163904,11.579964850615115,1.0,1707
assoc_recall,alibi,1,3163904,14.039250146455771,1.0,1707
assoc_recall,alibi,1,3163904,16.019343493552167,1.0,1706
assoc_recall,alibi,1,3163904,17.68424135910955,1.0,1707
assoc_recall,alibi,1,3163904,19.38722905682484,1.0,1707
assoc_recall,alibi,1,3163904,20.80187573270809,1.0,1706
assoc_recall,alibi,1,3163904,22.398359695371997,1.0,1707
assoc_recall,alibi,1,3163904,24.080257762155828,1.0,1707
assoc_recall,alibi,1,3163904,26.070926143024618,1.0,1706
assoc_recall,alibi,1,3163904,28.623315758640892,1.0,1707
assoc_recall,alibi,1,3163904,32.62272993555946,1.0,1707
assoc_recall,alibi,2,3163904,7.531066822977726,0.2924970691676436,1706
assoc_recall,alibi,2,3163904,11.549502050380784,0.29466900995899237,1707
assoc_recall,alibi,2,3163904,13.971880492091389,0.2823667252489748,1707
assoc_recall,alibi,2,3163904,15.930246189917936,0.26787807737397423,1706
assoc_recall,alibi,2,3163904,17.61394258933802,0.2823667252489748,1707
assoc_recall,alibi,2,3163904,19.282366725248973,0.26420620972466313,1707
assoc_recall,alibi,2,3163904,20.702227432590856,0.2584994138335287,1706
assoc_recall,alibi,2,3163904,22.31458699472759,0.2659636789689514,1707
assoc_recall,alibi,2,3163904,23.99765670767428,0.2624487404803749,1707
assoc_recall,alibi,2,3163904,25.964243845252053,0.2502930832356389,1706
assoc_recall,alibi,2,3163904,28.376684241359108,0.23725834797891038,1707
assoc_recall,alibi,2,3163904,32.471587580550676,0.24897480960749854,1707
assoc_recall,cable,0,3172128,7.53810082063306,1.0,1706
assoc_recall,cable,0,3172128,11.390158172231986,1.0,1707
assoc_recall,cable,0,3172128,13.827768014059753,1.0,1707
assoc_recall,cable,0,3172128,15.74208675263775,1.0,1706
assoc_recall,cable,0,3172128,17.540714704159345,1.0,1707
assoc_recall,cable,0,3172128,19.19742237844171,1.0,1707
assoc_recall,cable,0,3172128,20.64126611957796,1.0,1706
assoc_recall,cable,0,3172128,22.333333333333332,1.0,1707
assoc_recall,cable,0,3172128,24.013473930872877,1.0,1707
assoc_recall,cable,0,3172128,25.95896834701055,1.0,1706
